Company ID,Company Name,Org ID,Org Name,Div ID,Div Name,Unit Name,Unit ID
a9621,SomeCo,c4829,Finance,9bbd4,Accounting,Corporate Accounting,001
a9621,SomeCo,c4829,Finance,9bbd4,Accounting,Reporting,002
a9621,SomeCo,c4829,Finance,0de29,Forecasting,FP&A,003
a9621,SomeCo,456d0,Operations,ce266,Customer,Customer Service,004
a9621,SomeCo,456d0,Operations,ce266,Customer,Customer Billing,005
a9621,SomeCo,456d0,Operations,ce266,Customer,Marketing,006
a9621,SomeCo,456d0,Operations,ce266,Customer,Research,007
a9621,SomeCo,456d0,Operations,10d0d,Maintenance,Facilities,008
a9621,SomeCo,456d0,Operations,10d0d,Maintenance,Landscaping,009
a9621,SomeCo,456d0,Operations,2fae3,Security,Building,010
